year,age,sex,people
1850,0,1,1483789
1850,5,1,1411067
1850,10,1,1260099
1850,15,1,1077133
1850,20,1,1017281
1850,25,1,862547
1850,30,1,730638
1850,35,1,588487
1850,40,1,475911
1850,45,1,384211
1850,50,1,321343
1850,55,1,194080
1850,60,1,174976
1850,65,1,106827
1850,70,1,73677
1850,75,1,40834
1850,80,1,23449
1850,85,1,8186
1850,90,1,5259
1860,0,1,2120846
1860,5,1,1804467
1860,10,1,1612640
1860,15,1,1438094
1860,20,1,1351121
1860,25,1,1217615
1860,30,1,1043174
1860,35,1,866910
1860,40,1,699434
1860,45,1,552404
1860,50,1,456176
1860,55,1,292417
1860,60,1,260887
1860,65,1,149331
1860,70,1,98465
1860,75,1,56699
1860,80,1,29007
1860,85,1,10434
1860,90,1,7232
1870,0,1,2800083
1870,5,1,2428469
1870,10,1,2427341
1870,15,1,1958390
1870,20,1,1805303
1870,25,1,1509059
1870,30,1,1251534
1870,35,1,1185336
1870,40,1,968861
1870,45,1,852672
1870,50,1,736387
1870,55,1,486036
1870,60,1,399264
1870,65,1,260829
1870,70,1,173364
1870,75,1,86929
1870,80,1,47427
1870,85,1,15891
1870,90,1,8649
1880,0,1,3533662
1880,5,1,3297503
1880,10,1,2911924
1880,15,1,2457734
1880,20,1,2547780
1880,25,1,2119393
1880,30,1,1749107
1880,35,1,1540772
1880,40,1,1237347
1880,45,1,1065973
1880,50,1,964484
1880,55,1,679147
1880,60,1,580298
1880,65,1,369398
1880,70,1,255422
1880,75,1,141628
1880,80,1,67526
1880,85,1,22437
1880,90,1,10272
1900,0,1,4619544
1900,5,1,4465783
1900,10,1,4057669
1900,15,1,3774846
1900,20,1,3694038
1900,25,1,3389280
1900,30,1,2918964
1900,35,1,2633883
1900,40,1,2261070
1900,45,1,1868413
1900,50,1,1571038
1900,55,1,1161908
1900,60,1,916571
1900,65,1,672663
1900,70,1,454747
1900,75,1,268211
1900,80,1,127435
1900,85,1,44008
1900,90,1,15164
1910,0,1,5296823
1910,5,1,4991803
1910,10,1,4650747
1910,15,1,4566154
1910,20,1,4637632
1910,25,1,4257755
1910,30,1,3658125
1910,35,1,3427518
1910,40,1,2860229
1910,45,1,2363801
1910,50,1,2126516
1910,55,1,1508358
1910,60,1,1189421
1910,65,1,850159
1910,70,1,557936
1910,75,1,322679
1910,80,1,161715
1910,85,1,59699
1910,90,1,23929
1920,0,1,5934792
1920,5,1,5789008
1920,10,1,5401156
1920,15,1,4724365
1920,20,1,4549411
1920,25,1,4565066
1920,30,1,4110771
1920,35,1,4081543
1920,40,1,3321923
1920,45,1,3143891
1920,50,1,2546035
1920,55,1,1880975
1920,60,1,1587549
1920,65,1,1095956
1920,70,1,714618
1920,75,1,417292
1920,80,1,187000
1920,85,1,75991
1920,90,1,22398
1930,0,1,5875250
1930,5,1,6542592
1930,10,1,6064820
1930,15,1,5709452
1930,20,1,5305992
1930,25,1,4929853
1930,30,1,4424408
1930,35,1,4576531
1930,40,1,4075139
1930,45,1,3633152
1930,50,1,3128108
1930,55,1,2434077
1930,60,1,1927564
1930,65,1,1397275
1930,70,1,919045
1930,75,1,536375
1930,80,1,246708
1930,85,1,88978
1930,90,1,30338
1940,0,1,5294628
1940,5,1,5468378
1940,10,1,5960416
1940,15,1,6165109
1940,20,1,5682414
1940,25,1,5438166
1940,30,1,5040048
1940,35,1,4724804
1940,40,1,4437392
1940,45,1,4190187
1940,50,1,3785735
1940,55,1,2972069
1940,60,1,2370232
1940,65,1,1897678
1940,70,1,1280023
1940,75,1,713875
1940,80,1,359418
1940,85,1,127303
1940,90,1,42263
1950,0,1,8211806
1950,5,1,6706601
1950,10,1,5629744
1950,15,1,5264129
1950,20,1,5573308
1950,25,1,6007254
1950,30,1,5676022
1950,35,1,5511364
1950,40,1,5076985
1950,45,1,4533177
1950,50,1,4199164
1950,55,1,3667351
1950,60,1,3035038
1950,65,1,2421234
1950,70,1,1627920
1950,75,1,1006530
1950,80,1,511727
1950,85,1,182821
1950,90,1,54836
1960,0,1,10374975
1960,5,1,9495503
1960,10,1,8563700
1960,15,1,6620902
1960,20,1,5268384
1960,25,1,5311805
1960,30,1,5801342
1960,35,1,6063063
1960,40,1,5657943
1960,45,1,5345658
1960,50,1,4763364
1960,55,1,4170581
1960,60,1,3405293
1960,65,1,2859371
1960,70,1,2115763
1960,75,1,1308913
1960,80,1,619923
1960,85,1,253245
1960,90,1,75908
1970,0,1,8685121
1970,5,1,10411131
1970,10,1,10756403
1970,15,1,9605399
1970,20,1,7729202
1970,25,1,6539301
1970,30,1,5519879
1970,35,1,5396732
1970,40,1,5718538
1970,45,1,5794120
1970,50,1,5298312
1970,55,1,4762911
1970,60,1,4037643
1970,65,1,3142606
1970,70,1,2340826
1970,75,1,1599269
1970,80,1,886155
1970,85,1,371123
1970,90,1,186502
1980,0,1,8439366
1980,5,1,8680730
1980,10,1,9452338
1980,15,1,10698856
1980,20,1,10486776
1980,25,1,9624053
1980,30,1,8705835
1980,35,1,6852069
1980,40,1,5692148
1980,45,1,5342469
1980,50,1,5603709
1980,55,1,5485098
1980,60,1,4696140
1980,65,1,3893510
1980,70,1,2857774
1980,75,1,1840438
1980,80,1,1012886
1980,85,1,472338
1980,90,1,204148
1990,0,1,9307465
1990,5,1,9274732
1990,10,1,8782542
1990,15,1,9020572
1990,20,1,9436188
1990,25,1,10658027
1990,30,1,11028712
1990,35,1,9853933
1990,40,1,8712632
1990,45,1,6848082
1990,50,1,5553992
1990,55,1,4981670
1990,60,1,4953822
1990,65,1,4538398
1990,70,1,3429420
1990,75,1,2344932
1990,80,1,1342996
1990,85,1,588790
1990,90,1,238459
2000,0,1,9735380
2000,5,1,10552146
2000,10,1,10563233
2000,15,1,10237419
2000,20,1,9731315
2000,25,1,9659493
2000,30,1,10205879
2000,35,1,11475182
2000,40,1,11320252
2000,45,1,9925006
2000,50,1,8507934
2000,55,1,6459082
2000,60,1,5123399
2000,65,1,4453623
2000,70,1,3792145
2000,75,1,2912655
2000,80,1,1902638
2000,85,1,970357
2000,90,1,336303
